Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89
198208,48.946,17.922,44.451,0,2.035,3.181,14.228,10.732,0,27.278,5.217,1498.109,522.779,1450.966,0,23.254,55.663,488.667,387.188,0,950.89,78.917,29.364,27.269,30.098,30.469,31.738,24.69,30.778,35.298,27.085,32.756,27.273,35.499,34.64,37.608,-999,32.742,27.86,39.035,42.358,-999,40.382,29.792,141.961,15.312,16.017,16.455,14.427,60.648,1989.196,2147.76,2961.742,2394.736,9244.867,212.5,85,5384.516,10.966,2.715,10.624,2.192,168.5,28426.904,2575.472,3473.446,77.08,6.658,5.937,-0.027,0.087,-0.064,0.188,0.181,0.079,-999,0.057,-0.014,-0.044,3.485,2.263,-4.704,-2.485,6.351,10.49,31,0,0
198209,33.895,13.586,29.067,0,5.687,0,7.429,7.074,0,15.919,5.687,725.401,309.591,621.233,0,125.698,0,135.358,151.34,0,320.397,125.698,26.265,23.004,25.373,22.953,28.695,26.663,27.44,27.698,24.121,27.294,29.805,31.645,29.552,31.201,-999,32.085,-999,31.905,33.868,-999,32.495,33.817,139.85,17.204,17.124,15.611,13.564,61.836,3252.304,3161.27,3832.615,3061.058,12970.592,357.5,87.5,5214.467,13.627,3.456,12.561,3.598,131,27936.465,2540.356,3369.456,108.501,6.533,17.916,0.554,0.032,0.204,-0.008,0.153,-0.013,-999,0.413,-0.153,-0.03,4.532,3.465,-7.827,-1.965,2.734,6.243,30,0,0
198210,1.363,0.513,0.938,0,0.425,0,0,0.425,0,0.425,0.425,15.012,5.567,10.446,0,4.566,0,0,4.879,0,4.879,4.566,22.317,19.593,21.792,17.45,21.53,19.052,21.588,23.991,20.449,23.991,23.717,23.681,20.606,23.118,-999,-999,-999,-999,25.631,-999,25.631,25.182,152.284,18.589,19.44,18.845,17.212,72.115,5137.963,4676.627,4529.788,3295.758,17152.877,217.5,75,5163.291,15.967,5.265,18.827,4.482,132,27271.484,2471.261,3251.589,130.887,3.768,-19.175,0.084,-0.199,0.01,0.114,-0.129,0.168,-999,-0.088,0.37,-999,2.009,2.266,-3.705,-2.449,0.671,6.714,31,0,0
198211,3.386,0,0,0,3.386,0,0,0,0,0,3.386,60.24,0,0,0,60.24,0,0,0,0,0,60.24,21.935,13.768,15.062,14.877,21.808,16.387,17.985,14.95,14.998,16.21,21.935,25.006,-999,-999,-999,25.056,-999,-999,-999,-999,-999,25.006,127.064,19.391,20.259,19.012,15.09,71.725,5193.617,5488.686,5735.723,3723.045,19592.338,262.5,75,5043.2,17.311,3.099,16.999,3.58,145,26591.332,2276.262,2899.865,119.877,5.545,-10.561,0.25,-0.122,0.117,0.033,0.058,-0.064,-999,-0.256,0.232,-999,4.618,5.247,1.774,-4.968,-1.352,5.959,30,0,0
198212,7.213,0,0,0,7.067,0,0,0,0,0,7.213,173.131,0,0,0,171.122,0,0,0,0,0,173.131,19.829,13.274,14.312,13.737,18.337,15.179,15.961,-999,13.676,15.961,19.829,24.159,-999,-999,-999,21.773,-999,-999,-999,-999,-999,24.159,123.202,18.414,19.986,18.743,16.103,71.327,5713.803,5936.27,6002.709,4022.579,21111.689,280,72.5,4955.032,15.896,2.95,15.305,4.097,136,25907.904,2159.389,2683.756,125.987,9.682,-30.193,0.36,0.091,-0.304,0.224,-999,0.031,0.179,0.003,0.018,-999,3.487,5.384,-1.164,0.856,0.111,5.902,23,8,0
198301,14.837,1.362,1.362,0.831,9.652,2.163,0,0,1.212,0,12.189,289.105,16.304,16.304,9.964,215.718,34.196,0,0,17.635,0,257.348,14.848,13.039,13.039,12.944,14.532,16.046,12.995,14.206,11.751,13.314,15.566,18.245,14.813,14.813,14.842,18.786,18.947,-999,-999,14.174,-999,19.697,103.013,18.663,19.779,17.976,15.934,70.478,4968.021,5753.849,5634.204,4300.365,20107.896,300,70,4914.129,15.204,2.871,11.688,3.236,156.5,25727.678,2051.099,2572.891,95.066,1.693,-26.745,0.349,0.204,0.078,0.18,-0.219,0.294,-0.381,0.122,-0.41,-999,3.028,5.437,-0.215,0.085,1.925,5.985,26,5,0
198302,12.406,0.076,0.076,0.991,8.701,1.501,0,0,1.516,0,10.503,243.422,0.768,0.768,13.088,191.736,20.486,0,0,25.948,0,217.44,13.734,10,10,-999,12.491,14.689,12.337,11.161,10.273,12.223,13.84,16.025,10.059,10.059,11.59,17.33,17.152,-999,-999,14.174,-999,18.272,88.656,19.767,20.259,19.076,17.678,74.838,5701.031,6769.258,5440.262,3567.287,20950.293,287.5,75,4958.643,8.04,4.239,8.478,3.247,142.5,25630.143,1978.084,2475.553,85.062,-36.765,-20.29,-0.158,0.327,-0.381,-0.229,-0.125,0.02,-0.443,0.399,0.106,-999,2.28,5.074,-0.607,1.851,2.417,5.087,11,17,0
198303,22.57,3.256,5.602,2.423,9.289,3.823,2.346,0,1.816,2.346,13.485,438.638,48.779,77.847,39.35,229.182,65.162,29.067,0,34.883,29.067,302.379,12.856,11.207,11.4,11.013,12.936,14.717,11.715,10.498,-999,11.715,14.349,16.68,14.106,14.385,14.827,17.836,18.995,14.804,-999,15.172,14.804,19.112,88.652,19.022,20.259,19.057,16.315,72.668,4029.637,5425.285,4787.453,3338.549,17117.789,287.5,77.5,4980.032,11.462,1.091,10.032,0.881,170,26073.227,2128.947,2655.942,124.216,-21.766,0.728,0.11,0.51,-0.263,-0.308,0.15,-0.3,-999,-0.306,-0.127,-999,3.987,5.872,-7.474,0.974,-0.199,1.712,26,5,0
198304,18.957,7.002,9.649,2.947,5.157,0,2.039,0.457,2.85,2.799,5.157,291.829,91.203,124.18,44.765,100.037,0,26.394,4.813,57.627,34.915,100.037,13.73,13.79,13.321,13.265,15.886,12.092,13.577,10.125,14.022,12.36,15.886,16.913,16.545,15.804,16.714,20.699,-999,16.017,11.003,19.036,14.331,20.699,88.655,17.298,19.221,15.949,14.258,65.138,3655.411,3369.087,2564.7,2003.971,11335.342,275,80,5118.467,11.481,4.881,13.143,5.247,121,26855.398,2252.729,2881.59,150.891,-0.207,4.131,-0.292,0.17,0.187,0.341,-0.154,-0.548,-999,0.028,0.269,-999,5.43,7.229,-7.774,2.426,-0.207,2.004,30,0,0
198305,34.992,14.607,23.337,1.846,7.864,1.485,4.887,3.242,2.257,9.03,9.349,625.78,315.057,461.507,27.689,121.746,21.689,93.015,44.75,34.632,151.306,143.434,17.467,18.586,16.92,17.684,16.576,17.37,17.185,12.883,13.651,15.122,19.052,21.797,23.953,21.677,21.87,21.059,19.774,21.563,16.628,18.169,19.227,22.649,101.429,17.642,18.492,17.093,15.084,66.537,3068.664,2961.771,2846.103,1980.162,10580.065,265,75,5249.871,10.346,4.259,12.091,3.593,145,27404.289,2443.723,3233.543,142.283,-0.038,-3.029,0.006,0.094,0.141,0.112,0.199,-0.16,-999,-0.198,0.355,-999,5.394,7.712,-2.605,2.446,2.733,1.156,31,0,0
198306,53.909,18.828,35.697,0.139,11.201,7.025,9.715,6.125,1.174,17.384,18.79,1244.367,551.632,874.601,1.88,242.399,148.089,176.181,122.649,16.571,336.279,404.323,21.711,22.324,19.949,26.399,20.902,25.138,18.63,16.36,20.323,17.804,23.893,27.751,30.381,27.598,29.003,24.883,29.128,25.181,24.638,23.683,25.06,28.148,111.336,16.016,20.205,16.679,13.448,64.573,1822.88,3239.66,2657.837,2097.352,9585.837,357.5,90,5266.533,5.814,3.116,3.594,3.275,163,27750.867,2498.151,3325.029,115.99,-2.653,-4.32,0.653,0.132,-0.17,-0.588,-0.285,-0.027,-999,0.252,0.271,-999,3.89,6.603,-0.737,2.623,5.832,5.713,30,0,0
198307,68.142,18.696,45.615,0,12.022,11.001,15.211,10.43,1.354,27.493,23.576,1957.69,648.769,1495.175,0,270.314,241.648,485.099,318.412,23.767,867.933,524.156,28.738,26.656,28.791,26.868,25,30.761,30.483,32.062,23.569,30.547,28.634,35.408,34.463,37.084,-999,29.761,35.677,39.448,40.463,27.768,39.262,33.401,109.806,17.461,19.167,14.482,12.408,61.931,1755.773,2152.907,2309.957,1479.787,7518.009,297.5,67.5,5421.161,6.777,2.236,6.105,1.79,157.5,28317.033,2564.86,3429.073,113.209,0.037,17.177,0.215,0.115,-0.283,0.062,-0.227,-0.162,-999,0.127,0.183,-999,1.574,4.892,-3.144,3.775,8.257,8.233,31,0,0
198308,72.525,19.359,50.205,0.063,9.573,12.859,18.068,11.221,0,31.562,22.729,2056.459,657.895,1713.458,0.71,147.361,236.972,652.283,352.02,0,1078.782,387.971,28.295,27.522,28.963,35,29.719,28.425,32.754,26.912,23.243,30.132,26.794,35.931,34.567,37.795,35.511,35.034,34.264,41.989,39.452,-999,40.566,32.871,135.553,15.451,15.779,14.349,12.077,56.088,1922.279,2327.255,2939.905,2216.547,9161.572,302.5,70,5352.903,10.086,2.368,9.937,2.493,165.5,28386.387,2613.721,3538.255,106.351,8.668,10.883,0.425,-0.039,-0.024,-0.356,-0.353,0.093,-999,0.332,-0.083,-0.134,1.476,4.939,0.706,4.828,10.147,10.191,28,3,0
